代號	名稱	成交量	開盤價	最高	最低	收盤價	漲跌 	本益比	連續漲跌	連續漲跌(%)
3189	景碩	12629	124.0	127.5	123.5	126.5	+5.5	8.56	連4跌→漲	+4.55%
3209	全科	890	34.70	35.00	34.60	35.00	+0.50	7.67	連2漲	+2.04%
3229	晟鈦	209	23.20	25.45	23.20	25.45	+2.30	-	連3漲	+10.89%
3231	緯創	12820	27.00	27.40	26.75	27.35	+0.65	7.99	跌→漲	+2.43%
3257	虹冠電	57	49.80	49.80	49.00	49.05	0.00	11.82	連3跌→平	0.00%
3296	勝德	420	14.95	15.50	14.90	15.35	+0.55	-	連2漲	+4.42%
3305	昇貿	770	51.4	53.4	51.4	53.0	+2.0	7.67	連4跌→漲	+3.92%
3308	聯德	25	13.10	13.60	13.00	13.50	+0.15	-	連3跌→漲	+1.12%
3311	閎暉	77	33.00	33.25	32.75	33.15	+0.30	26.07	跌→漲	+0.91%
3312	弘憶股	669	17.80	18.25	17.80	18.05	+0.40	4.69	連3跌→漲	+2.27%
3321	同泰	524	11.25	11.90	11.25	11.35	+0.10	-	連4跌→漲	+0.89%
3338	泰碩	362	41.75	42.90	41.75	42.30	+1.20	15.17	跌→漲	+2.92%
3356	奇偶	732	27.40	28.25	27.40	28.20	-0.20	13.92	連4跌	-5.05%
3376	新日興	154	80.3	80.7	79.7	80.2	+0.9	12.69	跌→漲	+1.13%
3380	明泰	10116	31.80	32.00	30.90	31.85	+0.05	29.72	連2漲	+5.99%
3383	新世紀	33	6.12	6.14	6.10	6.14	+0.04	-	連2跌→漲	+0.66%
3406	玉晶光	3859	380.0	398.0	378.0	397.0	+23.5	17.96	連4跌→漲	+6.29%
3413	京鼎	164	191.5	194.5	191.5	194.0	+4.0	9.77	連2漲	+2.65%
3416	融程電	62	75.6	75.7	75.4	75.7	0.0	15.02	連3平	0.00%
3419	譁裕	1278	16.15	17.20	16.15	17.05	+0.95	-	連3跌→漲	+5.90%
3432	台端	7205	18.70	19.40	18.50	19.40	+1.75	10.76	連3漲	+32.88%
3437	榮創	78	19.10	19.55	19.10	19.50	+0.50	26.39	連4跌→漲	+2.63%
3443	創意	5957	534	549	526	549	+29	31.14	連2漲	+9.15%
3450	聯鈞	861	41.40	44.25	41.35	43.75	+2.65	17.49	連3跌→漲	+6.45%
3454	晶睿	152	80.0	81.2	80.0	80.9	+0.9	24.17	連2漲	+1.51%
3481	群創	33669	10.55	10.75	10.55	10.70	+0.20	2.32	平→漲	+1.90%
3494	誠研	7465	12.35	13.10	11.90	13.10	+1.15	-	連2跌→漲	+9.62%
3501	維熹	27	42.75	43.40	42.75	43.15	+0.35	13.29	連3跌→漲	+0.82%
3504	揚明光	21104	102.0	103.5	99.0	100.0	-0.5	98.53	連2漲→跌	-0.50%
3515	華擎	360	96.2	99.0	96.0	98.3	+3.6	4.67	連4跌→漲	+3.80%
3518	柏騰	295	19.15	19.35	18.85	19.00	-0.15	27.75	漲→跌	-0.78%
3528	安馳	5	49.00	49.50	49.00	49.30	+0.30	10.65	連2漲	+0.82%
3530	晶相光	271	90.0	91.5	89.0	89.0	+0.5	12.64	連2漲	+1.02%
3532	台勝科	4202	166.0	173.5	166.0	173.5	+10.0	30.39	連4跌→漲	+6.12%
3533	嘉澤	627	644	664	644	654	+21	16.70	跌→漲	+3.32%
3535	晶彩科	3160	25.55	26.65	25.55	26.50	+1.25	15.68	連4跌→漲	+4.95%
3536	誠創	68	3.87	4.11	3.73	3.74	-0.13	-	連10跌	-14.81%
3543	州巧	24	19.10	19.20	19.00	19.05	+0.35	-	連3漲	+2.70%
3545	敦泰	3024	66.8	67.9	66.6	67.3	+0.6	2.41	跌→漲	+0.90%
3550	聯穎	91	14.40	14.80	14.40	14.80	+0.30	41.43	連2漲	+2.42%
3563	牧德	18	138.0	139.5	138.0	139.0	+1.0	7.99	連3跌→漲	+0.72%
3576	聯合再生	3417	20.95	21.20	20.95	21.20	+0.25	-	連2漲	+2.66%
3583	辛耘	375	70.5	72.0	70.5	71.6	+1.6	10.80	連2漲	+3.02%
3588	通嘉	718	66.6	69.0	65.9	67.3	+1.7	8.89	連2漲	+3.86%
3591	艾笛森	7126	17.45	18.70	17.20	18.05	+1.00	26.23	跌→漲	+5.87%
3592	瑞鼎	566	251.0	259.5	251.0	255.5	+5.5	4.42	連4跌→漲	+2.20%
3593	力銘	31	13.65	13.80	13.60	13.80	+0.05	-	連2跌→漲	+0.36%
3596	智易	6532	126.5	127.5	123.5	125.0	-2.5	16.22	連2漲→跌	-1.96%
3605	宏致	192	37.30	38.15	37.30	38.05	+0.95	9.54	連3跌→漲	+2.56%
3607	谷崧	557	12.50	13.25	12.50	12.80	+0.40	-	跌→漲	+3.23%
3617	碩天	252	79.2	81.4	79.0	80.0	+1.2	-	連3漲	+4.99%
3622	洋華	134	31.20	31.20	30.55	30.70	+0.10	15.77	連2漲	+2.33%
3645	達邁	706	38.00	38.95	38.00	38.65	+0.75	14.92	連3跌→漲	+1.98%
3653	健策	1638	378.0	381.5	370.5	374.5	+2.0	31.62	連3漲	+3.31%
3661	世芯-KY	6957	648	659	635	641	+3	29.32	跌→漲	+0.47%
3665	貿聯-KY	2015	308.0	316.0	306.5	315.0	+8.5	20.47	連2漲	+4.13%
3669	圓展	59	41.95	41.95	41.50	41.95	+0.80	7.21	連3跌→漲	+1.94%
3673	TPK-KY	687	33.75	34.35	33.75	34.35	+0.85	14.26	連3跌→漲	+2.54%
3679	新至陞	199	81.3	81.8	78.3	79.5	-0.5	7.80	漲→跌	-0.63%
3682	亞太電	2649	6.85	6.88	6.81	6.88	+0.03	-	連2漲	+1.33%
3686	達能	205	11.40	11.80	11.40	11.60	+0.20	-	連3跌→漲	+1.75%
3694	海華	78	18.10	18.50	18.10	18.45	+0.35	9.00	連3跌→漲	+1.93%
3701	大眾控	483	41.60	42.60	41.60	42.30	+1.25	28.12	連3跌→漲	+3.05%
3702	大聯大	2797	50.0	51.0	49.90	50.7	+0.8	7.50	連3跌→漲	+1.50%
3702A	大聯大甲特	119	48.20	48.25	48.15	48.15	0.00	-	連2平	0.00%
3704	合勤控	4146	31.10	31.50	30.95	31.15	-0.20	10.56	漲→跌	-0.64%
3706	神達	2416	28.00	28.40	28.00	28.30	+0.30	2.84	連2漲	+1.62%
3711	日月光投控	7180	88.3	88.5	87.5	88.2	+0.8	5.49	連3漲	+4.38%
3712	永崴投控	163	26.90	27.45	26.90	27.45	+0.75	13.98	連3跌→漲	+2.81%
3714	富采	4269	47.60	48.35	47.60	48.35	+0.85	11.23	連2漲	+2.98%
4545	銘鈺	49	27.80	28.40	27.60	28.20	+0.40	17.82	連2漲	+1.99%
4904	遠傳	3834	76.3	76.3	75.2	75.6	0.0	25.54	連2漲→平	0.00%
4906	正文	4105	29.25	29.75	29.05	29.15	-0.35	19.41	漲→跌	-1.19%
4912	聯德控股-KY	90	109.5	113.0	109.5	112.0	+3.0	16.01	平→漲	+2.75%
4915	致伸	5092	69.9	70.0	69.0	69.7	+0.7	13.40	連2漲	+1.60%
4916	事欣科	4371	27.40	28.45	27.30	28.45	+2.55	23.13	連3漲	+22.89%
4919	新唐	14777	109.5	114.0	109.5	114.0	+7.5	10.41	連4跌→漲	+7.04%
4927	泰鼎-KY	1265	55.8	57.3	55.4	56.7	+1.0	-	-	+-
4934	太極	834	26.30	26.95	26.30	26.75	+0.85	-	連4跌→漲	+3.28%
4935	茂林-KY	28	55.0	55.3	54.7	55.1	+0.5	5.86	跌→漲	+0.92%
4938	和碩	6487	62.6	62.8	61.6	62.0	-1.0	9.59	連2跌	-1.74%
4942	嘉彰	137	38.65	38.90	38.40	38.60	+0.20	6.46	連2漲	+0.65%
4943	康控-KY	221	15.90	16.25	15.70	16.00	+0.20	-	連4跌→漲	+1.27%
4952	凌通	1119	60.6	62.0	60.6	61.9	+1.6	7.96	跌→漲	+2.65%
4956	光鋐	444	16.25	17.50	16.25	16.90	+0.80	12.98	連4跌→漲	+4.97%
4958	臻鼎-KY	2638	112.0	114.0	112.0	113.5	+2.0	9.96	跌→漲	+1.79%
4960	誠美材	4573	9.28	9.65	9.26	9.43	+0.32	9.69	連3跌→漲	+3.51%
4961	天鈺	3151	106.0	107.5	105.0	105.0	+0.5	3.49	連6跌→漲	+0.48%
4967	十銓	241	27.65	28.15	27.40	28.05	+1.10	-	連3跌→漲	+4.08%
4968	立積	1597	135.0	140.0	134.5	138.0	+4.5	-	跌→漲	+3.37%
4976	佳凌	730	40.85	41.95	40.85	41.75	+1.40	-	連4跌→漲	+3.47%
4977	眾達-KY	256	78.9	84.0	78.4	82.3	+4.8	20.34	連2漲	+6.74%
4989	榮科	161	26.00	26.45	26.00	26.35	+0.45	5.78	連3跌→漲	+1.74%
4994	傳奇	38	40.10	40.90	40.10	40.40	+0.75	22.79	連2漲	+2.02%
4999	鑫禾	180	36.50	36.50	36.00	36.15	+0.85	14.35	跌→漲	+2.41%
5203	訊連	32	89.0	89.1	88.5	89.1	+0.7	-	連3跌→漲	+0.79%
5215	科嘉-KY	37	41.05	41.60	40.95	41.10	+0.35	6.30	連3跌→漲	+0.86%
5222	全訊	488	132.5	133.0	130.0	131.5	+1.0	37.29	跌→漲	+0.77%
5225	東科-KY	25	21.00	21.00	20.65	20.85	+0.20	2.45	平→漲	+0.97%
5234	達興材料	738	66.7	67.0	66.0	66.5	-0.1	10.36	連5跌	-6.21%
5243	乙盛-KY	1234	67.0	67.4	66.5	66.8	+0.8	23.24	跌→漲	+1.21%
5244	弘凱	38	26.90	28.10	26.90	28.00	+0.75	6.08	連5跌→漲	+2.75%
5258	虹堡	35914	61.5	66.6	61.2	65.6	+5.0	15.15	連2漲	+8.43%
5269	祥碩	415	973	988	956	961	-6	20.12	漲→跌	-0.62%
5285	界霖	302	79.6	81.7	79.6	81.5	+2.4	17.16	連2漲	+3.16%
5388	中磊	8819	89.7	92.0	89.1	92.0	+2.3	21.61	連2漲	+6.60%
5434	崇越	229	154.5	157.5	154.5	157.0	+3.0	10.04	平→漲	+1.95%
5469	瀚宇博	1506	31.55	32.05	31.55	31.90	+0.50	4.58	連3跌→漲	+1.59%
5471	松翰	177	56.0	57.2	56.0	56.8	+0.9	6.67	連3跌→漲	+1.61%
5484	慧友	309	14.45	14.70	13.80	14.25	+0.10	-	連2漲	+8.37%
6108	競國	61	17.20	17.25	17.10	17.15	+0.25	11.58	連3跌→漲	+1.48%
6112	聚碩	59	34.00	34.15	34.00	34.00	+0.30	14.16	連2跌→漲	+0.89%
6115	鎰勝	68	40.90	41.10	40.90	40.95	+0.10	15.02	跌→漲	+0.24%
6116	彩晶	6537	10.00	10.15	10.00	10.10	+0.10	14.08	跌→漲	+1.00%
6117	迎廣	6	15.25	15.25	15.00	15.10	+0.05	-	跌→漲	+0.33%
6120	達運	1656	9.80	10.15	9.80	10.05	+0.32	-	連3跌→漲	+3.29%
6128	上福	81	29.25	29.45	29.25	29.40	+0.35	9.40	連3跌→漲	+1.20%
6133	金橋	5906	25.85	25.85	24.50	24.85	-1.05	-	連3漲→跌	-4.05%
6136	富爾特	57	17.50	17.60	17.45	17.55	+0.15	13.81	連2漲	+1.15%
6139	亞翔	506	30.80	31.45	30.80	31.35	+0.55	13.05	連2漲	+2.96%
6141	柏承	49	22.35	23.00	22.35	22.90	+0.15	9.32	跌→漲	+0.66%
6142	友勁	680	8.83	9.01	8.80	8.88	+0.05	4.51	連2漲	+2.19%
6152	百一	617	10.75	10.95	10.75	10.90	+0.20	44.58	平→漲	+1.87%
6153	嘉聯益	1146	22.40	22.75	22.15	22.60	+0.65	-	平→漲	+2.96%
6155	鈞寶	57	20.80	21.25	20.80	21.25	+0.50	14.51	連3跌→漲	+2.41%
6164	華興	1641	11.20	12.15	11.20	12.15	+1.10	276.25	跌→漲	+9.95%
6166	凌華	754	57.9	61.5	57.0	58.6	+2.0	73.51	連3跌→漲	+3.53%
6168	宏齊	496	19.10	19.40	19.10	19.40	+0.50	10.22	連3跌→漲	+2.65%
6176	瑞儀	1554	93.8	95.0	93.7	94.6	+1.6	6.95	跌→漲	+1.72%
6183	關貿	55	60.1	60.7	59.6	59.9	+0.3	18.86	連4跌→漲	+0.50%
6189	豐藝	231	38.10	38.70	38.10	38.70	+0.60	8.60	連3跌→漲	+1.57%
6191	精成科	1796	29.45	29.75	29.30	29.40	+0.35	4.75	連2漲	+2.44%
6192	巨路	72	68.4	68.4	67.4	67.8	+0.3	8.12	連3跌→漲	+0.44%
6196	帆宣	365	109.5	112.0	109.5	110.5	+2.0	12.39	連2平→漲	+1.84%
6197	佳必琪	251	37.30	37.70	36.70	36.85	+0.70	12.38	連2漲	+3.22%
6201	亞弘電	34	39.30	39.95	39.30	39.75	+0.60	10.97	跌→漲	+1.53%
6202	盛群	1512	79.9	81.8	79.9	81.5	+1.7	8.80	連2漲	+3.82%
6205	詮欣	2493	71.1	74.7	71.0	74.4	+3.4	23.05	連2漲	+8.45%
6206	飛捷	12103	97.8	99.0	93.9	97.3	+1.8	12.68	連2漲	+9.57%
6209	今國光	200	28.45	29.00	28.45	29.00	+1.00	-	連5跌→漲	+3.57%
6213	聯茂	2900	62.0	62.7	61.1	61.4	0.0	8.14	連3跌→平	0.00%
6214	精誠	125	71.5	72.2	71.2	72.2	+0.7	17.31	跌→漲	+0.98%
6215	和椿	100	22.20	22.50	22.20	22.40	+0.35	8.58	連3跌→漲	+1.59%
6216	居易	2776	31.40	32.85	31.40	32.10	+1.05	14.65	連2漲	+5.25%
6224	聚鼎	131	64.0	65.1	64.0	64.0	+0.6	12.10	連3跌→漲	+0.95%
6225	天瀚	122	8.21	9.02	8.21	9.02	+0.82	-	連2跌→漲	+10.00%
6226	光鼎	2657	13.05	13.80	13.05	13.70	+0.70	260.00	連4跌→漲	+5.38%
6230	尼得科超眾	16	105.0	105.5	104.5	104.5	-0.5	58.01	連2漲→跌	-0.48%
6235	華孚	9612	37.85	40.00	37.85	39.70	+2.05	28.52	連2漲	+5.73%
6239	力成	1795	85.0	86.3	84.9	86.0	+1.2	6.77	跌→漲	+1.42%
6243	迅杰	140	30.20	31.15	30.20	30.90	+1.00	17.80	平→漲	+3.34%
6251	定穎	2556	19.60	20.10	19.60	19.90	+0.70	8.61	連4跌→漲	+3.65%
6257	矽格	2335	49.15	49.60	49.15	49.35	+0.55	6.59	連2跌→漲	+1.13%
6269	台郡	1568	93.8	94.2	91.8	91.8	-0.7	9.74	連2跌	-1.61%
6271	同欣電	979	191.0	195.0	190.5	195.0	+7.5	10.49	連4跌→漲	+4.00%
6277	宏正	47	75.3	77.0	75.3	76.6	+1.7	14.86	跌→漲	+2.27%
6278	台表科	2763	84.4	88.5	84.4	87.6	+3.9	5.40	連3跌→漲	+4.66%
6281	全國電	81	80.7	81.0	80.5	80.8	+0.1	13.00	跌→漲	+0.12%
6282	康舒	3662	29.90	30.35	29.90	29.95	+0.05	21.99	連3跌→漲	+0.17%
6283	淳安	231	30.25	31.10	30.20	30.50	+1.05	-	連3跌→漲	+3.57%
6285	啟碁	20899	76.6	79.6	75.7	79.0	+2.8	19.79	連2漲	+8.37%
6289	華上	74	2.52	2.70	2.52	2.54	+0.01	-	連2跌→漲	+0.40%
6405	悅城	23	20.45	20.75	20.45	20.75	+0.45	17.50	連2漲	+2.98%
6409	旭隼	90	1,435	1,470	1,425	1,460	+55	50.29	跌→漲	+3.91%
6412	群電	196	72.8	72.8	71.6	71.9	-0.1	9.14	連4跌	-2.18%
6414	樺漢	3893	222.0	234.0	222.0	232.0	+11.0	16.14	連2漲	+9.18%
6415	矽力*-KY	3243	547	558	540	550	+23	31.59	連2漲	+5.77%
6416	瑞祺電通	98	88.5	88.5	87.2	88.3	+1.6	30.00	跌→漲	+1.85%
6426	統新	1157	63.9	66.0	61.8	62.6	+1.4	68.00	連2漲	+12.39%
6438	迅得	178	87.7	88.5	87.4	88.1	+1.1	9.03	連2漲	+2.44%
6442	光聖	14291	55.6	61.8	54.0	61.8	+5.6	22.66	連2跌→漲	+9.96%
6443	元晶	7258	32.40	33.10	32.30	32.95	+0.90	200.31	連2漲	+2.97%
6449	鈺邦	90	40.70	40.70	39.85	39.95	-0.05	11.08	漲→跌	-0.13%
6451	訊芯-KY	161	69.6	72.0	69.6	71.7	+2.8	102.84	連2漲	+4.52%
6456	GIS-KY	454	75.4	76.0	75.1	75.8	+1.2	5.60	連4跌→漲	+1.61%
6477	安集	2603	50.0	51.5	49.60	51.5	+2.1	40.49	連3跌→漲	+4.25%
6515	穎崴	547	396.0	407.0	395.0	403.0	+13.0	23.84	跌→漲	+3.33%
6525	捷敏-KY	314	73.4	73.9	72.7	73.4	+0.4	10.31	連2漲	+1.80%
6531	愛普*	2940	194.0	196.5	192.0	193.0	+1.5	12.90	連2漲	+2.12%
6533	晶心科	5687	267.0	272.0	252.5	257.5	-4.5	51.37	漲→跌	-1.72%
6552	易華電	42	39.10	39.15	38.60	39.00	+0.80	9.23	連4跌→漲	+2.09%
6558	興能高	50	21.35	21.50	21.20	21.35	+0.40	-	連3跌→漲	+1.91%
6573	虹揚-KY	198	16.15	16.40	15.95	16.20	+0.45	-	連2漲	+3.51%
6579	研揚	1390	87.0	93.6	87.0	93.6	+8.5	15.50	連2漲	+20.93%
6591	動力-KY	45	45.35	45.75	45.35	45.40	+0.40	5.42	連3跌→漲	+0.89%
6668	中揚光	184	42.00	43.20	42.00	42.55	+0.95	-	連3跌→漲	+2.28%
6669	緯穎	1041	683	712	679	707	+41	11.04	連2跌→漲	+6.16%
6672	騰輝電子-KY	119	62.8	63.2	62.2	62.4	+0.8	5.82	連4跌→漲	+1.30%
6674	鋐寶科技	19	25.85	26.70	25.85	26.20	+0.60	46.55	連2跌→漲	+2.34%
6691	洋基工程	176	160.0	162.5	159.0	159.0	-1.0	9.55	漲→跌	-0.63%
6698	旭暉應材	33	28.55	29.20	28.55	29.20	+0.65	150.26	連3跌→漲	+2.28%
6706	惠特	742	110.0	114.5	110.0	111.5	+3.5	6.57	連3跌→漲	+3.24%
6715	嘉基	301	152.5	156.0	150.0	155.0	+4.5	44.13	連2漲	+4.73%
6719	力智	1831	287.0	294.5	285.5	291.0	+7.5	14.58	連4跌→漲	+2.65%
6743	安普新	55	35.90	36.80	35.90	36.50	+0.60	-	連3漲	+4.23%
6756	威鋒電子	512	229.0	233.5	227.5	228.0	0.0	15.14	漲→平	0.00%
6770	力積電	35400	34.15	34.45	33.85	34.20	+0.40	5.01	連3跌→漲	+1.18%
6776	展碁國際	58	38.85	39.15	38.80	39.10	0.00	8.21	跌→平	0.00%
6781	AES-KY	850	980	1,050	980	1,020	+53	32.19	連3漲	+6.47%
6789	采鈺	1091	314.0	328.5	314.0	326.0	+16.5	41.94	跌→漲	+5.33%
6792	詠業	95	84.6	84.6	83.2	84.5	+1.7	12.66	連4跌→漲	+2.05%
6799	來頡	99	121.0	124.0	121.0	124.0	+5.5	15.78	連4跌→漲	+4.64%
8011	台通	1626	14.25	15.15	14.25	14.90	+0.75	-	連3跌→漲	+5.30%
8016	矽創	1419	163.5	166.5	162.5	166.0	+6.0	2.89	連2漲	+4.40%
8021	尖點	272	28.45	28.75	28.30	28.30	+0.30	8.64	平→漲	+1.07%
8028	昇陽半導體	22257	67.8	69.2	66.6	68.0	+1.3	33.35	連2漲	+7.26%
8039	台虹	97	40.85	41.10	40.85	40.95	+0.20	10.67	跌→漲	+0.49%
8046	南電	12020	241.0	249.0	240.0	244.0	+9.5	9.83	連2漲	+4.27%
8070	長華*	267	32.00	32.40	31.90	32.25	+0.50	10.51	連3跌→漲	+1.57%
8072	陞泰	19	22.40	22.60	22.40	22.45	+0.35	37.46	跌→漲	+1.58%
